MER4B_11q13.2
HERV4_13q32.3
HML4_16p13.3
HML2_3q12.3
HERV30_11q14.2
HERVL_13q33.3
HERV3_19q13.42c
HERVIP10FH_8q24.3
ERV316A3_20q13.33b
HERVL40_1q44
HML3_5p15.33b
ERVLE_12p11.23
MER4_7p14.3b
ERVLE_1p34.2c
HML1_15q21.2
ERVLE_1p31.1j
HERVS71_8p23.1b
HERVEA_19p13.3
ERVLB4_8p21.3a
ERVLE_19q13.41a
LTR25_1q22
ERV316A3_3q13.12c
HARLEQUIN_Xq23a
HERVFRD_2p11.2
LTR57_2q23.3
PABLB_Xp21.1b
HERVW_6p23
HERV3_4p16.1
HUERSP3_1q42.12
HERVFH21_16p11.2
ERVLE_5q35.3c
HERVL_Xp11.23
HERV4_5q14.1b
HUERSP1_Xp22.2
ERVLB4_Xq28b
MER4_11q21d
LTR19_14q23.1
HML6_19q13.41f
HERVH_3p21.31b
MER4_8q24.3d
HERVH_4q22.1h
ERVLE_13q12.13b
HARLEQUIN_7q33a
HERVH_3p22.1b
HERVH_19q13.42c
ERV316A3_8q24.12b
ERVLB4_1q25.1b
MER34B_7q11.23d
ERVLB4_7q36.3a
HUERSP1_3p21.31
HERVS71_15q26.1
HERVH_12q24.32
HERVFRD_9q22.31
ERV316A3_3q27.1a
MER61_4q21.23a
HERV9_15q21.1a
PRIMA41_19q13.31
PABLB_8q24.3a
HML3_19q13.41a
HERVL74_2q11.2
HERVFRD_7q21.3
HERVP71A_3p26.1
HERVH_2q33.3a
ERV316A3_3q29
ERVLB4_1p36.22
HML2_19q13.12b
HERVL40_4q27
ERVLE_7q36.1a
ERV316A3_6p25.1d
HML5_12q12b
LTR23_7q11.23a
LTR19_14q24.2
HERVH_2q14.1b
ERVLE_20q13.12b
HERVH_11p14.3a
HERV9_13q34
HERVW_1p34.2
MER61_1q42.12
PABLB_12p11.21
HERVH_7q11.23a
MER4_3p21.31a
HML6_3p21.31b
MER4_17q21.2c
ERVLB4_22q13.31b
HERVL40_Xp11.23a
HERVL74_4p16.3
HML5_6p22.2
HERV30_11q14.1
ERVLE_5p15.31b
ERVLE_9p24.1a
HERVH_1q32.1b
ERVLE_2q34a
HERVH_8p23.1f
HERVH_7q35b
ERVLB4_2p25.1b
MER101_15q15.2
HML6_17q25.1
MER61_Xp11.21
ERV316A3_Xq26.3a
HUERSP1_9q22.33
HERVL_6q14.1f
HERVL_6q22.31g
HUERSP2_19q13.2
ERVLE_7q34a
HML6_19q13.41e
ERVLB4_8p23.1n
HERVL_12q21.2c
HERVL_1q21.1a
HERVIP10F_1p35.2b
MER4_1q25.1a
HML2_11q12.3a
ERVLE_1p36.11b
HERVH_2p16.1c
ERV316A3_1q44b
MER4_16q24.1
HERVL_4p15.31a
HML3_10q26.3
HERV4_5q14.1a
HERVL40_22q11.23
MER41_Xq13.3b
MER61_7p14.3b
HERVH_3q26.2b
ERVLE_1p35.3c
HERVK11D_2q11.2
ERVLB4_3p11.1d
HARLEQUIN_1p13.2b
HERVIP10F_15q14
HML1_3q26.31b
HERVL_12q24.22
HERVL40_13q32.1
PRIMAX_11p15.4
ERVLB4_12q13.13
MER41_3p22.1c
HERVH_5q31.1b
HERVH_19q13.32e
ERVLE_6p22.1b
HERVIP10FH_16p12.3
MER41_Xp11.21b
HERVIP10F_1p36.33
LTR23_Xp11.21
HERVH_11q24.1a
ERVLE_3q22.3a
ERVLB4_1p33
ERVLB4_10p11.22b
HERVH_19p12k
MER4_10p15.1
HERVL18_4q22.1
HERVL_1p34.3b
ERVLE_5q31.1b
ERVLE_4q25h
MER41_18q21.33
MER101_13q14.11
HUERSP3B_18q21.1
PRIMA41_5q35.2
ERVLE_7q31.31d
HARLEQUIN_8p21.2
ERV316A3_11q23.3e
HERVL74_Xq13.2c
HERV9_1q24.3
HUERSP1_2q32.3
HERVIP10F_1p35.2c
HERVH_4q22.1d
HML4_10p15.1
MER4_4q25b
MER61_4q31.21a
MER61_21q22.11
HERV9_8q21.3
HUERSP3B_3q26.31b
LTR19_3q13.33b
MER4_14q24.2c
ERVLB4_19q13.31d
HERVH_16q21d
ERV316A3_1p32.3a
MER41_21q22.3b
ERVLE_2q37.3h
MER4_7p14.3c
ERV316A3_5q11.2l
HUERSP3_18q23
MER41_3p24.3b
HERVFRD_10p11.22a
HARLEQUIN_19p12b
HML3_3p24.3
ERVLB4_4q24g
ERVLE_10q26.3d
ERVLE_7q31.32g
PRIMA4_1q21.2c
HERVK11_Xp11.4a
ERV316A3_10p11.22c
ERV316A3_11q23.3d
HML5_19p12d
ERVLE_18q21.33
HML5_2q32.1
ERVLB4_7p21.2b
MER101_9q34.3
MER41_11q25
ERVLE_3q24a
ERVLE_3q29a
HERVH_7p15.3b
MER4B_16p12.3a
HERVP71A_17q11.2b
MER101_3q27.2
ERVLB4_11p15.5c
ERVLE_6p22.3b
MER4B_7q36.2a
ERVLE_15q21.1b
ERVLE_6p22.2b
ERV316A3_14q21.2b
MER4_10q11.22c
MER41_9q33.3
HERVK14C_8q24.3b
MER41_1p34.1a
ERVLE_5q33.3
HERVH_7q34d
MER101_1p22.2b
ERV316A3_5q35.1b
ERVLE_6q22.31g
HERVL_Xp11.21b
ERVLE_2q33.1a
HERVL74_19p13.2c
MER61_7p21.3b
ERVLB4_11p15.5a
HERVH_1p11.2
ERV316A3_4q32.2d
HERVH_8q22.2
HERVS71_19q13.11b
HERVH_3p11.2
ERVLB4_12p13.2d
HERVH_18q12.2b
ERVL_1q41
ERVLE_2q12.3d
MER61_8q11.23b
ERV316A3_5q31.1b
ERV316A3_10q11.23a
HUERSP2_11p12b
HERVL_9p21.3a
ERVLE_5q21.1a
MER4_13q12.12b
ERV316A3_12q14.3b
MER4B_Xq12b
MER41_2q33.1
HUERSP2_3q21.3
ERVLE_2p24.1a
HERVH_4q25b
HARLEQUIN_13q12.12
MER4_1p33a
MER61_11q14.2
HML5_8p21.2
HML2_3p25.3
ERV316A3_17q23.2a
ERV316A3_2q31.1a
HUERSP3B_11q24.2
MER61_13q21.33
ERV316A3_1p31.3b
HERVL_5p14.1j
HERVH_4q31.21a
HUERSP1_2q31.1a
HUERSP3_6p21.32
MER61_1q24.3a
HERVH_5q22.1
HUERSP3_10q23.33b
HERVW_2q31.1a
ERV316A3_4p16.1a
MER61_1q25.1c
HERVW_12q14.1
ERVLE_15q15.1
LTR25_8q21.3
HERVH_7q34b
MER4_15q21.2b
MER4B_16q21a
ERVLE_20q13.12c
HERVL_10q11.21c
HUERSP1_2q21.2
ERVLB4_Xp11.23a
HERVL40_4q32.1b
HERVL_Xq25f
MER61_4q25
HERVFH19_Xp11.3b
HERVFH19_14q21.1
ERV316A3_18q11.2f
ERVLB4_7q21.13d
ERV316A3_12q23.2a
HERVE_5q14.3b
MER4_Xp11.4b
MER4B_11p15.4
LTR25_1p22.3
MER4_5q35.2d
HERVL66_9p22.2
MER4_6q14.3a
HERVL_7q21.12a
HARLEQUIN_1p34.3b
ERVLB4_Xp11.3a
HERVH_1q32.2c
ERV316A3_13q31.3f
ERV316A3_5q34b
MER4_20q13.13
HERVL_Xp11.21d
MER34B_3q23
HERVL40_9p21.1
LTR19_9q34.11
PABLA_Xq21.31b
HERVW_21q22.2
HERVH_22q12.3a
MER41_Xq21.31b
ERV316A3_7q21.12b
HERVH_Xq24c
HERVL_22q11.1b
HERVH_6q23.2a
MER4_Yp11.2b
HUERSP3B_3q13.11
ERVLE_8q21.3e
MER41_5q14.3b
ERV316A3_15q25.1c
ERVLB4_6q21c
HERVL_12q21.1d
HERVL_5p14.1f
MER101_20q13.12
ERV316A3_1p31.3c
HERVH_7p21.1a
MER34B_5q35.1
MER41_13q34a
HML5_8p12
HML1_10q11.21
HERVH_10q22.3b
HERVEA_6q22.31
MER4_14q32.31b
HERVH_1q43a
HERVH_Xq24b
HML2_5q33.3
HERVH_7q35a
HML2_3q27.2
HERVH_9q33.2a
HERVH_2p24.2
HERVH_11q24.3b
ERVLB4_8p23.1i
ERVLB4_8p23.1m
PABLB_12p13.31
HERVK11_9p21.1
HERVH_12p13.31c
HERVH_9q21.33a
HERVEA_Xp22.33
HERVH_12q14.1b
HERVH_5p15.2b
HERVW_3q25.1a
HERVH_20q12a
HERVH_Xq25b
HERVE_11q13.4b
HERVH_13q21.32a
HERVH_2p11.2a
HERVFH19_3p21.31
HERVH_1q42.12a
HERVH_7q11.23b
HERVH_12q24.11
HML3_20q12
LTR25_Xq21.32
HML3_14q22.1
HERVP71A_9q34.3
HARLEQUIN_20p12.1
HERVH_20q13.12a
HERVH_1p35.2
HERVH_Xq13.3b
HERVH_1p31.1f
MER101_13q31.1a
MER4_4p16.1b
HERVIP10FH_3q13.33
ERV316A3_5q21.1c
ERV316A3_15q15.2
ERVLB4_2q37.3a
MER4_Xq27.3e
ERVLB4_15q21.3
HERVH_3q26.1b
MER61_10q26.12
HERVH_2p21a
ERVLB4_9q22.33a
HUERSP1_1p22.2
ERVLE_6p21.31c
HERVL_11q14.1e
HERVIP10F_1p36.21
HERVK11D_3q26.1
HERVH_9p11.2
HERVH_5p15.31a
HERVH_6p21.1
ERVLB4_10p12.1a
MER4B_Xp11.21a
MER4B_7p14.1
MER101_3p22.3
HERVL_8q21.11
ERVLE_10q25.3c
HERVH_11q24.1d
HERVH_3q26.32d
HERVH_18q12.3b
HERVH_4p15.33d
HERVH_3q26.33c
HERVH_1p36.13
HERVH_8p11.23
HERVL_Xq21.33b
HERVL_9q22.32
HML2_1q32.2
ERV316A3_Xq26.3c
